sgRNA_ID	Gene	HAP1_T0
chr9:135559043-135559062_GTF3C4_+	GTF3C4	917.0
chr19:18980919-18980938_GDF1_+	GDF1	1162.0
chr7:26251276-26251295_CBX3_+	CBX3	458.0
chr9:92220918-92220937_GADD45G_-	GADD45G	1016.0
chr5:33947343-33947362_SLC45A2_+	SLC45A2	1184.0
chr2:189599569-189599588_DIRC1_+	DIRC1	770.0
chr6:42181841-42181860_MRPS10_+	MRPS10	787.0
chr5:180582511-180582530_OR2V2_-	OR2V2	336.0
chr20:32345014-32345033_ZNF341_+	ZNF341	210.0
chr14:61912423-61912442_PRKCH_+	PRKCH	978.0
chr11:5475335-5475354_OR51I2_-	OR51I2	627.0
chr3:15065624-15065643_NR2C2_+	NR2C2	737.0
chr10:121435990-121436009_BAG3_-	BAG3	660.0
chr5:147661720-147661739_SPINK13_-	SPINK13	833.0
chr7:107427294-107427313_SLC26A3_-	SLC26A3	462.0
chrY:2655476-2655495_SRY_-	SRY	230.0
chrX:153880773-153880792_CTAG2_+	CTAG2	650.0
chr4:39469245-39469264_LIAS_+	LIAS	591.0
chr1:229738568-229738587_TAF5L_-	TAF5L	230.0
chr3:52721342-52721361_GNL3_+	GNL3	1240.0
chr12:10962121-10962140_TAS2R9_-	TAS2R9	1130.0
chr15:37242555-37242574_MEIS2_-	MEIS2	902.0
chr9:136277943-136277962_REXO4_-	REXO4	1143.0
chr1:38149039-38149058_C1orf109_-	C1orf109	887.0
chr1:62166594-62166613_TM2D1_+	TM2D1	895.0
chr6:46293186-46293205_RCAN2_+	RCAN2	545.0
chr21:34649030-34649049_IL10RB_+	IL10RB	764.0
chr18:56367780-56367799_MALT1_-	MALT1	1497.0
chr16:20809533-20809552_ERI2_-	ERI2	535.0
chr7:140125938-140125957_RAB19_-	RAB19	625.0
chr4:70824634-70824653_CSN2_-	CSN2	822.0
chr17:20483743-20483762_CDRT15L2_+	CDRT15L2	780.0
chr5:114632225-114632244_CCDC112_-	CCDC112	1421.0
chr19:46272087-46272106_SIX5_-	SIX5	898.0
chr6:132910580-132910599_TAAR5_+	TAAR5	1524.0
chr6:132966604-132966623_TAAR1_-	TAAR1	553.0
chr10:90435393-90435412_LIPF_+	LIPF	605.0
chr6:43267436-43267455_SLC22A7_-	SLC22A7	322.0
chr19:9577923-9577942_ZNF560_-	ZNF560	94.0
chr5:55185833-55185852_IL31RA_+	IL31RA	492.0
chr11:16877412-16877431_PLEKHA7_-	PLEKHA7	1430.0
chr7:144063946-144063965_ARHGEF5_+	ARHGEF5	1159.0
chr15:50769066-50769085_USP8_-	USP8	782.0
chr14:74947425-74947444_NPC2_-	NPC2	380.0
chr3:48019390-48019409_MAP4_-	MAP4	483.0
chr6:27420854-27420873_ZNF184_-	ZNF184	316.0
chr2:102968014-102968033_IL1RL1_+	IL1RL1	226.0
chr11:122931288-122931307_HSPA8_+	HSPA8	885.0
chr9:97535429-97535448_C9orf3_+	C9orf3	726.0
chr17:29647429-29647448_EVI2A_+	EVI2A	696.0
chr19:9226121-9226140_OR7G1_+	OR7G1	861.0
chr1:6292010-6292029_ICMT_+	ICMT	484.0
chr9:13247745-13247764_MPDZ_-	MPDZ	1233.0
chr8:116599327-116599346_TRPS1_-	TRPS1	468.0
chrX:138714583-138714602_MCF2_+	MCF2	978.0
chr11:77850593-77850612_ALG8_+	ALG8	1329.0
chr8:27634423-27634442_ESCO2_+	ESCO2	327.0
chr12:27521220-27521239_ARNTL2_-	ARNTL2	603.0
chr11:34470822-34470841_CAT_-	CAT	281.0
chr1:196876030-196876049_CFHR4_-	CFHR4	0.0
chr17:39927918-39927937_JUP_-	JUP	525.0
chr20:57019228-57019247_VAPB_-	VAPB	1064.0
chr9:140063515-140063534_LRRC26_+	LRRC26	1466.0
chr4:146560709-146560728_MMAA_+	MMAA	622.0
chr21:48064258-48064277_PRMT2_+	PRMT2	635.0
chr1:154127430-154127449_NUP210L_+	NUP210L	200.0
chr2:48018117-48018136_MSH6_-	MSH6	1088.0
chr4:15937625-15937644_FGFBP1_-	FGFBP1	968.0
chr1:78408213-78408232_NEXN_+	NEXN	409.0
chr6:70637903-70637922_COL19A1_+	COL19A1	403.0
chr17:9729539-9729558_GLP2R_-	GLP2R	577.0
chr11:120200902-120200921_TMEM136_-	TMEM136	1226.0
chr10:88677012-88677031_BMPR1A_-	BMPR1A	913.0
chr16:27353548-27353567_IL4R_-	IL4R	731.0
chr4:85748021-85748040_WDFY3_-	WDFY3	696.0
chr10:102116487-102116506_SCD_-	SCD	307.0
chr10:75673396-75673415_PLAU_-	PLAU	471.0
chr7:20668388-20668407_ABCB5_-	ABCB5	1148.0
chr14:23072393-23072412_ABHD4_-	ABHD4	787.0
chr11:118849545-118849564_FOXR1_+	FOXR1	336.0
chr4:108816830-108816849_SGMS2_+	SGMS2	665.0
chrX:78427067-78427086_GPR174_-	GPR174	546.0
chrX:142716964-142716983_SLITRK4_-	SLITRK4	375.0
chr6:25665227-25665246_SCGN_+	SCGN	729.0
chr9:17143333-17143352_CNTLN_+	CNTLN	477.0
chr5:74387139-74387158_ANKRD31_-	ANKRD31	1303.0
chr1:155110531-155110550_SLC50A1_-	SLC50A1	291.0
chr10:96701660-96701679_CYP2C9_+	CYP2C9	1058.0
chr1:89414809-89414828_CCBL2_-	CCBL2	476.0
chr6:87796108-87796127_CGA_-	CGA	452.0
chr1:100680410-100680429_DBT_-	DBT	1346.0
chr6:27860862-27860881_HIST1H2AM_-	HIST1H2AM	876.0
chr10:20106099-20106118_PLXDC2_+	PLXDC2	990.0
chr19:649714-649733_RNF126_-	RNF126	592.0
chr17:56770128-56770147_RAD51C_+	RAD51C	354.0
chr11:12518101-12518120_PARVA_+	PARVA	1234.0
chr7:64864714-64864733_ZNF92_+	ZNF92	912.0
chr8:25890623-25890642_EBF2_-	EBF2	319.0
chr4:122791435-122791454_BBS7_-	BBS7	262.0
chr6:114277280-114277299_HDAC2_-	HDAC2	1077.0
chr16:87451054-87451073_ZCCHC14_+	ZCCHC14	715.0
chr6:52999093-52999112_GCM1_-	GCM1	88.0
chr5:178459466-178459485_ZNF879_+	ZNF879	832.0
chr1:28087011-28087030_FAM76A_+	FAM76A	1129.0
chr17:7346056-7346075_FGF11_+	FGF11	568.0
chr1:154099855-154099874_NUP210L_-	NUP210L	806.0
chr20:10030237-10030256_ANKEF1_-	ANKEF1	1333.0
chr2:29606631-29606650_ALK_-	ALK	320.0
chr16:84256540-84256559_KCNG4_+	KCNG4	1628.0
chr1:196883664-196883683_CFHR4_-	CFHR4	3.0
chr8:145060289-145060308_PARP10_-	PARP10	778.0
chr19:47152478-47152497_DACT3_-	DACT3	1520.0
chr7:138827021-138827040_TTC26_+	TTC26	1623.0
chr14:59930633-59930652_GPR135_-	GPR135	989.0
chr6:16130877-16130896_MYLIP_+	MYLIP	1042.0
chr17:4402619-4402638_SPNS2_+	SPNS2	104.0
chr1:113257899-113257918_PPM1J_-	PPM1J	340.0
chr13:21306005-21306024_N6AMT2_-	N6AMT2	293.0
chr11:122850079-122850098_BSX_+	BSX	775.0
chr3:170150481-170150500_CLDN11_+	CLDN11	478.0
chr12:57118228-57118247_NACA_+	NACA	632.0
chr2:161055758-161055777_ITGB6_-	ITGB6	582.0
chr20:18440833-18440852_DZANK1_-	DZANK1	293.0
chr4:99403164-99403183_TSPAN5_-	TSPAN5	880.0
chr17:46152431-46152450_CBX1_+	CBX1	408.0
chr4:82380590-82380609_RASGEF1B_-	RASGEF1B	586.0
chr18:21898749-21898768_OSBPL1A_-	OSBPL1A	1567.0
chrX:79698717-79698736_FAM46D_+	FAM46D	355.0
chr7:86998785-86998804_CROT_-	CROT	997.0
chr12:93134703-93134722_PLEKHG7_+	PLEKHG7	591.0
chr1:158670301-158670320_OR6K2_-	OR6K2	768.0
chr7:86825963-86825982_TMEM243_-	TMEM243	745.0
chr18:71797684-71797703_FBXO15_-	FBXO15	800.0
chr14:64066329-64066348_WDR89_-	WDR89	589.0
chr2:190670459-190670478_PMS1_+	PMS1	788.0
chr16:72993154-72993173_ZFHX3_+	ZFHX3	911.0
chr12:121855641-121855660_RNF34_-	RNF34	247.0
chr1:158815430-158815449_MNDA_+	MNDA	1487.0
chr7:140706285-140706304_MRPS33_-	MRPS33	187.0
chr11:5462230-5462249_OR51I1_-	OR51I1	585.0
chr7:69364335-69364354_AUTS2_+	AUTS2	499.0
chr1:150193015-150193034_ANP32E_-	ANP32E	847.0
chr14:57740981-57741000_AP5M1_+	AP5M1	544.0
chr7:4822955-4822974_AP5Z1_+	AP5Z1	1538.0
chr8:68942821-68942840_PREX2_+	PREX2	606.0
chr9:104357179-104357198_PPP3R2_-	PPP3R2	858.0
chr13:61987997-61988016_PCDH20_-	PCDH20	310.0
chr13:109445967-109445986_MYO16_+	MYO16	337.0
chr8:49986817-49986836_C8orf22_-	C8orf22	955.0
chr11:86519358-86519377_PRSS23_+	PRSS23	1344.0
chr5:50090761-50090780_PARP8_+	PARP8	397.0
chr10:48416570-48416589_GDF2_-	GDF2	1235.0
chr15:79606203-79606222_TMED3_-	TMED3	485.0
chr20:3063635-3063654_AVP_+	AVP	305.0
chr6:170873699-170873718_TBP_+	TBP	718.0
chr6:99771397-99771416_FAXC_-	FAXC	1198.0
chr3:38181878-38181897_MYD88_-	MYD88	395.0
chr16:27367157-27367176_IL4R_-	IL4R	578.0
chr3:69299203-69299222_FRMD4B_+	FRMD4B	579.0
chr2:201677968-201677987_BZW1_-	BZW1	1080.0
chr2:165996086-165996105_SCN3A_-	SCN3A	275.0
chr8:97620677-97620696_SDC2_+	SDC2	478.0
chr18:8635583-8635602_RAB12_+	RAB12	624.0
chr11:61136095-61136114_TMEM138_+	TMEM138	911.0
chr1:6680310-6680329_PHF13_+	PHF13	401.0
chr16:50188139-50188158_PAPD5_+	PAPD5	852.0
chr7:931986-932005_GET4_-	GET4	587.0
chr3:56651596-56651615_CCDC66_+	CCDC66	312.0
chr17:5312123-5312142_NUP88_-	NUP88	705.0
chr10:5541311-5541330_CALML5_-	CALML5	177.0
chr8:145163447-145163466_KIAA1875_-	KIAA1875	1495.0
chr6:114180879-114180898_MARCKS_+	MARCKS	565.0
chr12:56415290-56415309_IKZF4_-	IKZF4	958.0
chr20:23028785-23028804_THBD_-	THBD	742.0
chr21:44328983-44329002_NDUFV3_-	NDUFV3	846.0
chr10:123310830-123310849_FGFR2_-	FGFR2	694.0
chr2:85843506-85843525_USP39_-	USP39	1046.0
chr8:11163734-11163753_MTMR9_+	MTMR9	1144.0
chr9:108424971-108424990_TAL2_+	TAL2	770.0
chr10:43882900-43882919_HNRNPF_-	HNRNPF	643.0
chr5:140182629-140182648_PCDHA3_-	PCDHA3	497.0
chr13:23869596-23869615_SGCG_-	SGCG	524.0
chr6:22292852-22292871_PRL_-	PRL	966.0
chr8:94146701-94146720_C8orf87_-	C8orf87	815.0
chr13:99378445-99378464_SLC15A1_+	SLC15A1	669.0
chr11:67269790-67269809_PITPNM1_-	PITPNM1	976.0
chr3:3887630-3887649_LRRN1_+	LRRN1	635.0
chr1:160208413-160208432_DCAF8_-	DCAF8	332.0
chr15:57730902-57730921_CGNL1_+	CGNL1	1297.0
chr5:94245057-94245076_MCTP1_-	MCTP1	730.0
chr18:32825366-32825385_ZNF397_+	ZNF397	379.0
chr2:170747720-170747739_UBR3_+	UBR3	1130.0
chr4:187554873-187554892_FAT1_-	FAT1	792.0
chr16:66783162-66783181_DYNC1LI2_-	DYNC1LI2	707.0
chr10:34739349-34739368_PARD3_-	PARD3	1408.0
chr15:51839429-51839448_DMXL2_-	DMXL2	380.0
chr8:70617356-70617375_SLCO5A1_-	SLCO5A1	460.0
chr10:69682827-69682846_HERC4_-	HERC4	562.0
chr15:62950010-62950029_TLN2_-	TLN2	151.0
chr11:680955-680974_DEAF1_+	DEAF1	483.0
chr13:111357860-111357879_CARS2_+	CARS2	875.0
chr2:109398846-109398865_RANBP2_-	RANBP2	426.0
chr8:37734619-37734638_RAB11FIP1_+	RAB11FIP1	1159.0
chr2:75921517-75921536_GCFC2_-	GCFC2	1363.0
chr4:104082260-104082279_CENPE_-	CENPE	385.0
chr7:100424593-100424612_EPHB4_+	EPHB4	995.0
chr6:43487103-43487122_POLR1C_+	POLR1C	283.0
chr4:153574041-153574060_TMEM154_-	TMEM154	728.0
chr22:23968211-23968230_C22orf43_+	C22orf43	967.0
chr4:52883286-52883305_LRRC66_-	LRRC66	768.0
chr3:43389693-43389712_SNRK_+	SNRK	557.0
chr5:138749847-138749866_DNAJC18_-	DNAJC18	322.0
chr15:43641240-43641259_ADAL_-	ADAL	1054.0
chr12:21679879-21679898_C12orf39_+	C12orf39	576.0
chr10:49935641-49935660_WDFY4_-	WDFY4	835.0
chr1:196965216-196965235_CFHR5_-	CFHR5	385.0
chr6:36823630-36823649_PPIL1_-	PPIL1	1086.0
chr15:65851036-65851055_PTPLAD1_+	PTPLAD1	107.0
chr19:18273234-18273253_PIK3R2_+	PIK3R2	500.0
chrX:30873035-30873054_TAB3_-	TAB3	923.0
chr2:183066175-183066194_PDE1A_+	PDE1A	1005.0
chr1:45155503-45155522_C1orf228_-	C1orf228	863.0
chr19:45419489-45419508_APOC1_-	APOC1	726.0
chrX:128922012-128922031_SASH3_-	SASH3	753.0
chr3:130715631-130715650_ATP2C1_-	ATP2C1	1036.0
chr2:202070675-202070694_CASP10_+	CASP10	0.0
chr18:9122639-9122658_NDUFV2_+	NDUFV2	679.0
chr7:82595187-82595206_PCLO_+	PCLO	149.0
chr20:17936087-17936106_SNX5_+	SNX5	551.0
chr4:41749526-41749545_PHOX2B_-	PHOX2B	622.0
chr17:40951117-40951136_CNTD1_-	CNTD1	549.0
chr11:108464229-108464248_EXPH5_+	EXPH5	650.0
chr10:13782530-13782549_FRMD4A_-	FRMD4A	617.0
chr15:33180375-33180394_FMN1_-	FMN1	470.0
chr16:3297223-3297242_MEFV_-	MEFV	683.0
chrX:84301458-84301477_APOOL_+	APOOL	488.0
chr2:70096950-70096969_GMCL1_-	GMCL1	399.0
chr7:144150662-144150681_TPK1_-	TPK1	1280.0
chr7:20666199-20666218_ABCB5_+	ABCB5	799.0
chrX:135431525-135431544_GPR112_-	GPR112	584.0
chr19:52497672-52497691_ZNF615_+	ZNF615	339.0
chr10:124746425-124746444_PSTK_+	PSTK	422.0
chr10:35894537-35894556_GJD4_+	GJD4	1956.0
chr3:25835715-25835734_OXSM_-	OXSM	308.0
chr20:123281-123300_DEFB126_-	DEFB126	770.0
chr12:113706551-113706570_TPCN1_-	TPCN1	698.0
chr15:40921563-40921582_CASC5_-	CASC5	317.0
chr3:110611299-110611318_RP11-553A10.1_+	RP11-553A10.1	722.0
chr5:9629985-9630004_TAS2R1_+	TAS2R1	193.0
chr11:57480211-57480230_TMX2_+	TMX2	543.0
chr17:43333137-43333156_SPATA32_-	SPATA32	625.0
chr6:10626809-10626828_GCNT2_+	GCNT2	481.0
chr14:78146251-78146270_ALKBH1_-	ALKBH1	1591.0
chr17:45904525-45904544_MRPL10_+	MRPL10	1127.0
chr10:129847896-129847915_PTPRE_-	PTPRE	501.0
chr6:18258191-18258210_DEK_-	DEK	832.0
chr2:37455377-37455396_CEBPZ_-	CEBPZ	333.0
chr14:104407736-104407755_RD3L_-	RD3L	501.0
chr17:2200574-2200593_SMG6_-	SMG6	692.0
chr16:47409805-47409824_ITFG1_+	ITFG1	1038.0
chr16:2868701-2868720_PRSS21_-	PRSS21	1419.0
chr1:206944363-206944382_IL10_+	IL10	296.0
chr2:192922440-192922459_TMEFF2_+	TMEFF2	185.0
chr1:16563180-16563199_RSG1_-	RSG1	169.0
chr20:18005344-18005363_OVOL2_-	OVOL2	601.0
chr13:27845166-27845185_RASL11A_+	RASL11A	1214.0
chr1:231700419-231700438_TSNAX_-	TSNAX	697.0
chr1:202933748-202933767_CYB5R1_-	CYB5R1	676.0
chr22:27026303-27026322_CRYBA4_-	CRYBA4	511.0
chr8:18725483-18725502_PSD3_+	PSD3	779.0
chr12:53668640-53668659_ESPL1_+	ESPL1	124.0
chr12:99020482-99020501_IKBIP_+	IKBIP	514.0
chr1:155174939-155174958_THBS3_-	THBS3	604.0
chr4:74607711-74607730_IL8_+	IL8	861.0
chr3:129696049-129696068_TRH_-	TRH	320.0
chr21:44589268-44589287_CRYAA_-	CRYAA	442.0
chr6:74063035-74063054_DPPA5_+	DPPA5	257.0
chr22:46494432-46494451_FLJ27365_-	FLJ27365	794.0
chr5:80681590-80681609_ACOT12_+	ACOT12	1170.0
chr19:33285656-33285675_TDRD12_-	TDRD12	1000.0
chr5:153432922-153432941_MFAP3_+	MFAP3	1317.0
chr7:97488236-97488255_ASNS_-	ASNS	440.0
chr9:129851397-129851416_ANGPTL2_-	ANGPTL2	590.0
chr19:15852334-15852353_OR10H3_-	OR10H3	617.0
chr1:1550881-1550900_MIB2_-	MIB2	634.0
chr12:45209873-45209892_NELL2_+	NELL2	631.0
chr1:172001619-172001638_DNM3_+	DNM3	770.0
chr11:118235860-118235879_UBE4A_-	UBE4A	458.0
chr8:68340274-68340293_CPA6_+	CPA6	936.0
chr11:111800623-111800642_DIXDC1_-	DIXDC1	516.0
chr5:65076097-65076116_NLN_-	NLN	375.0
chr12:9984999-9985018_KLRF1_-	KLRF1	498.0
chr2:64085059-64085078_UGP2_-	UGP2	247.0
chr5:150110970-150110989_DCTN4_+	DCTN4	465.0
chr2:102955438-102955457_IL1RL1_-	IL1RL1	787.0
chr3:125735612-125735631_SLC41A3_+	SLC41A3	279.0
chr22:36745221-36745240_MYH9_-	MYH9	793.0
chr16:15932037-15932056_MYH11_-	MYH11	774.0
chr1:28527830-28527849_DNAJC8_-	DNAJC8	462.0
chr9:126433595-126433614_DENND1A_-	DENND1A	1431.0
chr19:14938702-14938721_OR7A5_-	OR7A5	551.0
chr15:23060867-23060886_NIPA1_-	NIPA1	473.0
chr9:80921369-80921388_PSAT1_+	PSAT1	1090.0
chr8:124710745-124710764_ANXA13_-	ANXA13	259.0
chr9:132400284-132400303_ASB6_-	ASB6	782.0
chr14:23310785-23310804_MMP14_-	MMP14	497.0
chr1:153347043-153347062_S100A12_-	S100A12	297.0
chr4:90170018-90170037_GPRIN3_-	GPRIN3	552.0
chr3:45151992-45152011_CDCP1_+	CDCP1	1272.0
chr1:198248128-198248147_NEK7_+	NEK7	570.0
chr8:21903782-21903801_FGF17_-	FGF17	920.0
chr3:184020211-184020230_PSMD2_-	PSMD2	744.0
chr10:114710981-114711000_TCF7L2_-	TCF7L2	634.0
chr2:112922602-112922621_FBLN7_-	FBLN7	653.0
chr22:29169731-29169750_CCDC117_+	CCDC117	641.0
chr19:44570917-44570936_ZNF223_+	ZNF223	491.0
chr2:24398416-24398435_FAM228A_-	FAM228A	449.0
chr11:35463213-35463232_PAMR1_-	PAMR1	663.0
chr3:33135385-33135404_TMPPE_+	TMPPE	1.0
chr1:45250948-45250967_BEST4_+	BEST4	381.0
chr2:96781343-96781362_ADRA2B_+	ADRA2B	667.0
chr5:159344779-159344798_ADRA1B_+	ADRA1B	802.0
chr12:110017701-110017720_MVK_-	MVK	623.0
chr3:151458585-151458604_AADACL2_+	AADACL2	311.0
chr6:106960384-106960403_AIM1_+	AIM1	508.0
chr3:10491168-10491187_ATP2B2_-	ATP2B2	379.0
chr4:26417152-26417171_RBPJ_+	RBPJ	384.0
chr20:43850790-43850809_SEMG2_+	SEMG2	564.0
chrX:53439953-53439972_SMC1A_-	SMC1A	273.0
chr1:67236153-67236172_TCTEX1D1_-	TCTEX1D1	354.0
chr17:48557240-48557259_RSAD1_-	RSAD1	920.0
chr11:31312254-31312273_DCDC1_+	DCDC1	524.0
chr4:113108046-113108065_C4orf32_-	C4orf32	1385.0
chr16:21156639-21156658_DNAH3_-	DNAH3	1095.0
chr11:61160724-61160743_TMEM216_-	TMEM216	331.0
chr12:100711643-100711662_SCYL2_+	SCYL2	741.0
chr4:36230612-36230631_ARAP2_+	ARAP2	612.0
chr7:50737447-50737466_GRB10_+	GRB10	702.0
chr5:141336459-141336478_PCDH12_-	PCDH12	597.0
chr6:36020556-36020575_MAPK14_+	MAPK14	638.0
chr1:230822747-230822766_COG2_+	COG2	836.0
chr19:36940729-36940748_ZNF566_-	ZNF566	253.0
chr18:12982518-12982537_SEH1L_+	SEH1L	686.0
chr1:95293167-95293186_SLC44A3_-	SLC44A3	292.0
chr4:119154239-119154258_NDST3_-	NDST3	566.0
chr6:24583909-24583928_KIAA0319_-	KIAA0319	430.0
chr14:94933663-94933682_SERPINA9_-	SERPINA9	652.0
