sgRNA_ID	Gene	HAP1_T18B
chr11:35463213-35463232_PAMR1_-	PAMR1	723.0
chr3:33135385-33135404_TMPPE_+	TMPPE	0.0
chr1:45250948-45250967_BEST4_+	BEST4	160.0
chr2:96781343-96781362_ADRA2B_+	ADRA2B	596.0
chr5:159344779-159344798_ADRA1B_+	ADRA1B	664.0
chr12:110017701-110017720_MVK_-	MVK	126.0
chr3:151458585-151458604_AADACL2_+	AADACL2	174.0
chr6:106960384-106960403_AIM1_+	AIM1	247.0
chr3:10491168-10491187_ATP2B2_-	ATP2B2	647.0
chr4:26417152-26417171_RBPJ_+	RBPJ	57.0
chr20:43850790-43850809_SEMG2_+	SEMG2	387.0
chrX:53439953-53439972_SMC1A_-	SMC1A	0.0
chr1:67236153-67236172_TCTEX1D1_-	TCTEX1D1	272.0
chr17:48557240-48557259_RSAD1_-	RSAD1	462.0
chr11:31312254-31312273_DCDC1_+	DCDC1	411.0
chr4:113108046-113108065_C4orf32_-	C4orf32	630.0
chr16:21156639-21156658_DNAH3_-	DNAH3	412.0
chr11:61160724-61160743_TMEM216_-	TMEM216	661.0
chr12:100711643-100711662_SCYL2_+	SCYL2	417.0
chr4:36230612-36230631_ARAP2_+	ARAP2	724.0
chr7:50737447-50737466_GRB10_+	GRB10	408.0
chr5:141336459-141336478_PCDH12_-	PCDH12	348.0
chr6:36020556-36020575_MAPK14_+	MAPK14	181.0
chr1:230822747-230822766_COG2_+	COG2	176.0
chr19:36940729-36940748_ZNF566_-	ZNF566	142.0
chr18:12982518-12982537_SEH1L_+	SEH1L	172.0
chr1:95293167-95293186_SLC44A3_-	SLC44A3	315.0
chr4:119154239-119154258_NDST3_-	NDST3	406.0
chr6:24583909-24583928_KIAA0319_-	KIAA0319	260.0
chr14:94933663-94933682_SERPINA9_-	SERPINA9	279.0
chr15:65563361-65563380_PARP16_-	PARP16	366.0
chr1:235715424-235715443_GNG4_+	GNG4	98.0
chr15:42820463-42820482_SNAP23_+	SNAP23	413.0
